Word Mark,Goods and Services,Filing Date,Owner
M X G,"IC 025. US 022 039. G & S: Lingerie; intimate apparel in the nature of underwear, chemises, pajamas, robes, slips being underclothing, nightshirts and nightgowns; bras, bralettes, panties, sleepwear, and loungewear. FIRST USE: 20190801. FIRST USE IN COMMERCE: 20190801","October 11, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
MADE FOR AMAZON,"IC 009. US 021 023 026 036 038. G & S: Accessories, namely, cases, protective covers, stands, fitted plastic films known as skins for covering and protecting portable electronic devices, audio speakers, computer monitors, liquid crystal display (LCD) monitors, flat panel display screens, liquid crystal displays, keyboards, all of the aforementioned for use with portable and handheld electronic devices for transmitting, storing, manipulating, recording, and reviewing text, images, sound, audio, video and data, namely, tablet computers, electronic book readers, audio and video players, electronic personal organizers, personal digital assistants, global positioning system (GPS) devices; power adapters; USB cables; computer hardware; electronic docking stations; battery chargers; electrical connectors, wires, cables, and adaptors; wireless remote controls for portable electronic devices, namely, home automation devices, portable and handheld electronic devices for transmitting, storing, manipulating, recording, and reviewing text, images, sound, audio, video and data, including via global computer networks, tablet computers, electronic book readers, audio, video, and multimedia players, electronic personal organizers, personal digital assistants, and global positioning system (GPS) devices, and devices for the display of electronically published materials, namely, books, journals, newspapers, magazines, multimedia presentations. FIRST USE: 20150900. FIRST USE IN COMMERCE: 20150900 IC 035. US 100 101 102. G & S: Promoting the goods and services of others; retail store services and online retail store services featuring cases, covers, stands, skins, speakers, accessories, monitors, displays, and keyboards for portable and handheld electronic devices for transmitting, storing, manipulating, recording, and reviewing text, images, sound, audio, video and data, including via global computer networks, tablet computers, electronic book readers, audio and video players, electronic personal organizers, personal digital assistants, and global positioning system devices and devices for the display of electronically published materials, namely, books, journals, newspapers, magazines, multimedia presentations, power adapters, USB cables, computer hardware, full line of electronic and mechanical parts and fittings for portable electronic devices, electronic docking stations, battery chargers, electrical connectors, wires, cables, and adaptors, wireless remote controls for portable electronic devices, headphones and earphones, lights for portable electronic devices and printed materials. FIRST USE: 20150900. FIRST USE IN COMMERCE: 20150900","July 27, 2015","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
MADELINE KELLY,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, socks, gloves, and hosiery, intimate apparel in the nature of underwear, chemises, pajamas, robes, slips being underclothing, nightshirts and nightgowns; bras, bralettes, panties, sleepwear, and loungewear","April 5, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
MADEMARK,"IC 025. US 022 039. G & S: Clothing, namely, shirts, t-shirts, sweatshirts. FIRST USE: 20200101. FIRST USE IN COMMERCE: 20200101","October 29, 2019","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
Mae,,,
MAMA BEAR,IC 005. US 006 018 044 046 051 052. G & S: Dietary supplements; food supplements; vitamin supplements; vitamins; electrolyte replacement solutions,"October 30, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
MIA NOIR,"IC 014. US 002 027 028 050. G & S: precious metals and their alloys and goods in precious metals or coated therewith, namely, earrings, necklaces, bracelets, rings, anklets; jewelry, precious stones, watches IC 035. US 100 101 102. G & S: Online retail store services featuring jewelry, precious stones and watches","September 19, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
MINT LILAC,"IC 025. US 022 039. G & S: Clothing, namely, shirts, t-shirts, sweatshirts, shorts, leggings, athletic tights, jackets and coats. FIRST USE: 20200101. FIRST USE IN COMMERCE: 20200101","April 5, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
Moon and Back,,,
Mountain Falls,,,
MOVIAN,"IC 011. US 013 021 023 031 034. G & S: Electric lighting fixtures; Light shades IC 020. US 002 013 022 025 032 050. G & S: Furniture; Cushions; Non-metal door handles; Knobs not of metal; Mattresses; Mirrors; Office furniture; Pillows; Curtain rods; Screens; Indoor window shades; Fitted table covers; Fitted furniture covers IC 021. US 002 013 023 029 030 033 040 050. G & S: Containers for household or kitchen use; Kitchen utensil crocks, pouring and straining spouts, and splatter screens; Unworked or semi-worked glass except glass used in building; Glassware, namely, cups, mugs, plates, bowls, and saucers; Porcelain, namely, cups, mugs, plates, bowls, and saucers; Earthenware, namely, cups, mugs, plates, bowls, and saucers; Serving trays IC 024. US 042 050. G & S: Textiles and substitutes for textiles, namely, for use in making clothing and household furnishings; Plastic table covers; Fitted bed sheets; Flat bed sheet; Bed throws; Bed covers; Bed blankets, bed linen; Table linen; Wall hangings of textile; Pillow covers; Pillow cases; Throws; Unfitted furniture covers not of paper IC 035. US 100 101 102. G & S: On-line retail store services featuring furniture; Retail store services featuring furniture","May 13, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Avenue North Seattle WASHINGTON 98109"
MR BEAMS,"IC 009. US 021 023 026 036 038. G & S: Home automation hubs comprised of voice-activated speakers, computer hardware and downloadable software for controlling networked devices in the internet of things (IoT); Electronic devices for home and environmental monitoring, control, and automation, namely, wireless and wired controllers, and electric control devices, for lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; security surveillance apparatus, namely, electronic components of security systems; alarm monitoring systems; Home automation systems comprised of electronic devices in the nature of wireless and wired controllers, and electric control devices, for lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras, and downloadable computer software for use in sharing and transmission of data and information between networked devices for the purposes of facilitating home and environmental monitoring, control, and automation; data processing apparatus; Home automation systems comprised of home automation electric control devices for controlling lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; Stand-alone voice controlled electronic information devices, namely, cloud-connected and voice-controlled smart audio speakers with virtual personal assistant capabilities; anti-intrusion and anti-theft warning apparatus and devices, namely, theft alarms and electronic sensors used with theft alarms; theft prevention installations, namely, anti-intrusion alarms; security alarm controllers; photographic apparatus and instruments, namely, cameras, video cameras, cases adapted for photographic equipment, and camera mounts; optical apparatus and instruments, namely, optical profilers, optical scanners, and optical sensors; apparatus for recording, transmission or reproduction of sound or images, namely, cameras, video streaming devices, video recording devices and video receiving devices, namely, video receivers, video cameras, tablet computers, digital video recorders; computer hardware and downloadable software for processing, reproducing, synchronizing, recording, organizing, downloading, uploading, transmitting, streaming, receiving, playing and viewing images, audio, video and data files; wireless communication devices for voice, data, or image transmission; electronic voice and data transmitters and receivers; electric doorbells; electronic locks; burglar alarms; alarm sensors; alarm systems being building security systems comprising computer software and hardware for providing picture, video, alarm status, and other information to a remote user; sensors and detectors for sensing and detecting moisture, carbon monoxide, intrusions, and temperature; audio speakers; video monitors; security cameras; video cameras for monitoring the interior and exterior of residences and commercial buildings, and wireless controllers therefore; video streaming devices, video recording devices, and video receiving devices, namely, video receivers, video cameras, tablet computers; cameras; webcams; apparatus and devices providing night vision, namely, night vision sensors and night vision cameras; mounts and stands for alarm system components and camera mounts and stands; environmental hazard detectors, namely, devices that detect and record the presence of water, humidity levels, heat, temperature, movement, motion, and sound; closed circuit television apparatus and cameras; pet and baby monitors; video monitors for pets; Structural and replacement parts for the aforesaid goods, and accessories therefore, namely, cases adapted for cameras, mounts for cameras, and electronic doorbells sold as a unit with screwdrivers specifically designed for installing electronic doorbells; security software, namely, downloadable software for monitoring security camera footage and home security systems; security software, namely, downloadable software to control building access and security systems; downloadable software and software applications permitting users to identify and communicate with persons at their door; downloadable software development kits (SDKs) consisting of computer software for the development, use, and interoperability of APIs that are used by electronic devices, systems, and interchanges that exchange data via communications networks and the internet and that connect with cloud-based data storage and exchange services; downloadable software development kits (SDKs) comprising of software development tools and software for use as an application programming interface (API) for creating software and applications related to internet connected consumer electronic devices; downloadable software development kits (SDKs) comprising of software development tools and software for use as an application programming interface (API) for creating software and applications related to theft-prevention and security systems, and home and business surveillance systems; downloadable voice command and recognition software; downloadable computer software used for controlling stand-alone voice controlled information and personal assistant devices; downloadable computer software for remote monitoring and analysis; electronic control systems for machines; downloadable software for monitoring and controlling communication between computers and automated machine systems; electronic video surveillance products, namely, electronic components of security systems; downloadable navigation software for use with smart, autonomous vehicles and mobile machines for use in connection with internet of things (IoT) enabled devices; downloadable software for use in tracking and monitoring position and range of smart, autonomous vehicles and mobile machines for use in connection with internet of things (IoT) enabled devices; electronic systems, equipment and instruments, namely, behavior engine software, positioning engine software, positioning sensors and dynamic intelligent software and sensors for use in connection with internet of things (IoT) enabled devices; automated self contained electronic surveillance devices that can be deployed to gather evidence or intelligence; wearable activity trackers; wearable cameras; wearable computers in the nature of smartwatches; wearable computers in the nature of smart glasses; wearable video display monitors; Communications headsets for use with mobile phones, communication radios, intercom systems, or other communications network transceivers; light switches; light diodes IC 012. US 019 021 023 031 035 044. G & S: Land vehicles; motor vehicles, namely, concept motor vehicles; vehicle camera mount; Land vehicle parts and accessories, namely, equalizers, connecting rods, drive belts, diesel and non-diesel engines, axles, drive gears, steering units, windshields, running boards, mud guards, wheels, tire chains, fenders and transmissions; carts","October 30, 2018","(APPLICANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 Terry Avenue North Seattle WASHINGTON 98109"
